,County,State,FIPS Code,Population,Area,Density
117,Craighead County,Arkansas,05031,112218,712,158
604,DeWitt County,Illinois,17039,15341,397,39
2937,Stevens County,Washington,53065,46445,65,715
1756,Cheshire County,New Hampshire,33005,76458,708,108
228,Tehama County,California,06103,65498,2951,22
323,Dixie County,Florida,12029,17102,704,24
2302,Kent County,Rhode Island,44003,170715,168,1016
1693,Kearney County,Nebraska,31099,6674,516,13
490,Pike County,Georgia,13231,19477,218,89
947,Osage County,Kansas,20139,15768,704,22
2614,Harrison County,Texas,48203,69150,899,77
2092,Muskingum County,Ohio,39119,86408,664,130
1782,Sussex County,New Jersey,34037,145543,521,279
3074,Carbon County,Wyoming,56007,14649,7897,2
2744,Uvalde County,Texas,48463,24729,1557,16
1944,New Hanover County,North Carolina,37129,229018,328,698
1006,Christian County,Kentucky,21047,72357,721,100
2005,McIntosh County,North Dakota,38051,2513,975,3
2870,Nelson County,Virginia,51125,14790,472,31
1974,Watauga County,North Carolina,37189,54234,313,173
2392,Lincoln County,South Dakota,46083,67870,578,117
194,Lassen County,California,06035,33159,4558,7
2978,Ohio County,West Virginia,54069,41776,106,394
1624,Pondera County,Montana,30073,5994,1625,4
962,Saline County,Kansas,20169,53888,720,75
2961,Jackson County,West Virginia,54035,27738,466,60
1297,Schoolcraft County,Michigan,26153,8030,1884,4
2172,Noble County,Oklahoma,40103,10933,732,15
3092,Washakie County,Wyoming,56043,7705,2240,3
40,Lee County,Alabama,01081,177218,607,292
2808,Windham County,Vermont,50025,46090,789,58
2995,Wetzel County,West Virginia,54103,14170,359,39
1208,Berkshire County,Massachusetts,25003,128657,931,138
1786,Catron County,New Mexico,35003,3731,6928,1
65,Wilcox County,Alabama,01131,10446,888,12
687,Adams County,Indiana,18001,35961,339,106
2996,Wirt County,West Virginia,54105,5063,233,22
1751,Storey County,Nevada,32029,4143,264,16
2034,Allen County,Ohio,39003,101670,404,252
3056,Shawano County,Wisconsin,55115,40859,893,46
2522,Bandera County,Texas,48019,21565,792,27
